analysis_id,y88eutb1f5dbe45
mouse_life_stage,E9.5
gene_symbol,Hspa5
mouse_strain,C57BL
gene_accession_id,MGI:95835
parameter_name,Average duration
pvalue,0.2624285
parameter_id,JAX_ROT_002_001
