analysis_id,c7g82v3b634qsmp
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Hindpaw - size
pvalue,0.8980436
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
parameter_id,JAXLA_CSD_041_002
