analysis_id,j2n40e6391uxv5i
parameter_id,IMPC_XRY_001_001
parameter_name,Skull shape
mouse_strain,C57BL
gene_accession_id,MGI:88479
pvalue,0.2666472
mouse_life_stage,Early adult
gene_symbol,Cpa3
