analysis_id,03x268d59l3h8u0
mouse_strain,C57BL
pvalue,0.5437093
parameter_name,Lean mass
gene_accession_id,MGI:1336200
parameter_id,IMPC_DXA_003_001
gene_symbol,Hpca
mouse_life_stage,Late adult
