parameter_name,Optic Disc
analysis_id,6d0n148396a8e7x
mouse_life_stage,Late adult
gene_symbol,Snap23
gene_accession_id,MGI:109356
mouse_strain,C57BL
parameter_id,IMPC_EYE_023_001
pvalue,0.4005762
