analysis_id,7w8c20636510sua
gene_accession_id,MGI:88174
pvalue,0.2392
parameter_name,Resting Treg cells - % of Treg
parameter_id,MGP_MLN_010_001
mouse_life_stage,E12.5
mouse_strain,C51BL
gene_symbol,Bmi1
