analysis_id,p41ov76ku7a4b89
gene_symbol,Bach2
parameter_id,IMPC_IMM_067_001
gene_accession_id,MGI:894679
parameter_name,Follicular B Cells (CD21/35+)
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5102645
