parameter_name,Percentage center time
parameter_id,JAX_OFD_022_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Pum1
pvalue,0.9455157
gene_accession_id,MGI:1931749
analysis_id,225sype536150e9
