analysis_id,l75e9edwsvmg091
gene_symbol,Cldn19
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_022_001
mouse_strain,C57BL
pvalue,0.3910955
gene_accession_id,MGI:3033992
parameter_name,Percentage center time
