analysis_id,49x69nz41g8976c
parameter_id,IMPC_ECG_003_001
gene_accession_id,MGI:1933159
mouse_strain,C57BL
gene_symbol,Rnf114
mouse_life_stage,Early adult
parameter_name,CV
pvalue,0.98271
