gene_symbol,Slc39a10
mouse_strain,C57BL
pvalue,0.8635187
mouse_life_stage,E9.5
parameter_id,IMPC_CBC_009_001
gene_accession_id,MGI:1914515
analysis_id,508mie1933316h7
parameter_name,Calcium
