parameter_name,Red blood cell count
gene_accession_id,MGI:1345282
parameter_id,IMPC_HEM_002_001
pvalue,0.2299429
analysis_id,7a369x2odu9c5l4
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_symbol,Slc30a4
