parameter_name,Radius
pvalue,0.893055
parameter_id,IMPC_XRY_022_001
mouse_strain,C57BL
analysis_id,y3zdl3g144nw93k
mouse_life_stage,Early adult
gene_accession_id,MGI:1914944
gene_symbol,Ift74
