parameter_name,QT
mouse_life_stage,Early adult
gene_symbol,Alkbh3
gene_accession_id,MGI:1916363
pvalue,0.2402776
analysis_id,7bue364i2e2u64n
parameter_id,IMPC_ECG_028_001
mouse_strain,C57BL
