parameter_name,Eosinophil cell count
mouse_strain,C57BL
analysis_id,ae8qm1zn40c9656
gene_symbol,Cds2
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_036_001
pvalue,0.413891
