gene_symbol,Hrnr
gene_accession_id,MGI:3046938
analysis_id,023kaq78v291v02
parameter_name,Response amplitude - S
pvalue,0.363293
parameter_id,IMPC_ACS_006_001
mouse_strain,C57BL
mouse_life_stage,Early adult
