analysis_id,88gi26td2o16d25
parameter_id,MGP_MLN_032_001
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:1914071
pvalue,0.6140324
parameter_name,Effector NK cells - % of NK cells
gene_symbol,Bcs1l
