parameter_name,Limb morphology
gene_accession_id,MGI:2685266
analysis_id,k6nx1p7vh128zi9
mouse_strain,C57BL
pvalue,0.8296236
parameter_id,IMPC_GEP_084_001
gene_symbol,Pglyrp3
mouse_life_stage,Early adult
