gene_symbol,Dhdds
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of CD45+
analysis_id,l1urhxlwf55x33s
pvalue,0.4220216
mouse_strain,C57BL
parameter_id,MGP_MLN_071_001
