parameter_name,Fat mass
gene_symbol,Bach2
analysis_id,55uo9ee1x7266ai
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
pvalue,0.6056008
parameter_id,IMPC_DXA_002_001
mouse_strain,C57BL
