parameter_name,Cholesterol ratio
pvalue,0.9357428
analysis_id,z03xd25rk9m1v9m
mouse_life_stage,Early adult
gene_symbol,Ufc1
mouse_strain,C57BL
gene_accession_id,MGI:1913405
parameter_id,IMPC_CBC_058_001
