analysis_id,r31tf0uivk18q96
parameter_name,12kHz-evoked ABR Threshold
mouse_life_stage,Early adult
pvalue,0.1145069
mouse_strain,C57BL
gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
parameter_id,IMPC_ABR_006_001
