parameter_name,Response amplitude - S
gene_symbol,Snrpb2
mouse_strain,C57BL
parameter_id,IMPC_ACS_006_001
gene_accession_id,MGI:104805
analysis_id,531332n2m19f7jy
mouse_life_stage,Early adult
pvalue,0.9847418
