parameter_id,IMPC_LDT_006_001
parameter_name,Latency to first transition into dark
gene_symbol,Nemp2
gene_accession_id,MGI:2444113
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4629545
analysis_id,o9y8i493g8hq80f
