analysis_id,75c7rk5di547v2m
mouse_strain,C57BL
parameter_id,MGP_MLN_009_001
pvalue,0.7277626
mouse_life_stage,E15.5
parameter_name,Effector Treg cells - % of Treg
gene_symbol,Fgb
gene_accession_id,MGI:99501
