analysis_id,72a2478vr0oa800
gene_symbol,Ssr2
pvalue,0.7368408
parameter_name,lens opacity
mouse_life_stage,Early adult
gene_accession_id,MGI:1913506
mouse_strain,C57BL
parameter_id,M-G-P_014_001_010
