analysis_id,9832o396mfo8953
gene_symbol,Kifap3
pvalue,0.7942259
parameter_name,Neutrophil cell count
mouse_strain,C57BL
parameter_id,IMPC_HEM_030_001
gene_accession_id,MGI:107566
mouse_life_stage,Early adult
