analysis_id,f76dxe721r136y3
gene_symbol,Lpgat1
parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:2446186
mouse_strain,C57BL
pvalue,0.9866009
parameter_name,Retina (combined)
mouse_life_stage,Middle aged adult
