analysis_id,ck5kwq61b643cyt
gene_symbol,Secisbp2l
parameter_name,Percent time in dark
pvalue,0.2712446
parameter_id,JAX_LDT_008_001
gene_accession_id,MGI:1917604
mouse_strain,C57BL
mouse_life_stage,Late adult
