gene_symbol,Mov10
pvalue,0.6751297
analysis_id,48k1z80f9m054ov
parameter_id,MGP_IMM_073_001
gene_accession_id,MGI:97054
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Effector CD4+ T helper cells - % of CD45+
