analysis_id,23ijg5x838409m2
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,MGP_MLN_010_001
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_name,Resting Treg cells - % of Treg
pvalue,0.6817462
