parameter_id,HRWLLA_CSD_008_001
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
pvalue,0.7080799
parameter_name,Coat - color pattern - back
analysis_id,jhqminlg62zh508
mouse_life_stage,Early adult
mouse_strain,C57BL
