analysis_id,341hh375a51s754
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1925049
pvalue,0.5321654
parameter_name,Tremor
parameter_id,TCPLA_CSD_030_001
gene_symbol,Sla2
