analysis_id,t75t7id17u4en92
gene_symbol,Mgst2
parameter_id,M-G-P_016_001_005
parameter_name,Mean-cell-volume
gene_accession_id,MGI:2448481
pvalue,0.1382157
mouse_life_stage,Early adult
mouse_strain,C57BL
