analysis_id,ofs22472257w0mi
parameter_name,Potassium
parameter_id,GMC_906_001_005
pvalue,0.4365825
gene_accession_id,MGI:3522699
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Trpa1
