parameter_name,Prepulse inhibition - PP4
parameter_id,ESLIM_011_001_704
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,srtxy50g9r7rip4
gene_symbol,Ivd
pvalue,0.2213528
gene_accession_id,MGI:1929242
