analysis_id,bp00lk7947gyv4h
parameter_name,Total food intake
parameter_id,IMPC_CAL_008_001
gene_accession_id,MGI:1914583
pvalue,0.7015619
mouse_strain,C57BL
gene_symbol,Stk35
mouse_life_stage,Early adult
