parameter_id,JAXLA_GRS_010_001
analysis_id,ws39b882h3q6lr3
gene_accession_id,MGI:2444113
mouse_strain,C57BL
gene_symbol,Nemp2
pvalue,0.06478329
mouse_life_stage,Early adult
parameter_name,Forelimb grip strength normalised against body weight
