analysis_id,6wbjq05d957q055
parameter_name,center - resting time
mouse_strain,C57BL
parameter_id,M-G-P_007_001_011
gene_accession_id,MGI:109585
pvalue,0.5363113
mouse_life_stage,Early adult
gene_symbol,Pld1
