parameter_name,% Freezing duration habituation-1
pvalue,0.7984034
gene_symbol,Arnt
gene_accession_id,MGI:88071
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,73v0wrmtg07da0i
parameter_id,ICS_FEA_016_001
