parameter_name,Neural tube morphology
analysis_id,hf4vc95j3015act
pvalue,0.9911621
Mouse_strain,C57BL
parameter_id,IMPC_GEL_060_001
gene_accession_id,MGI:95576
Gene_symbol,Fpgs
mouse_life_stage,Early adult
