gene_symbol,Tnni1
mouse_strain,C57BL
pvalue,0.7339326
gene_accession_id,MGI:105073
parameter_name,Eye
mouse_life_stage,Early adult
analysis_id,x60rd035f2j72k9
parameter_id,IMPC_EYE_001_001
