parameter_name,Percentage center time
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_OFD_022_001
pvalue,0.8337301
analysis_id,2w8gh34jb8gl102
