gene_symbol,Sema6c
gene_accession_id,MGI:1338032
analysis_id,a528q3np69gv41l
mouse_life_stage,Early adult
pvalue,0.1130775
parameter_name,Sacral processes
parameter_id,IMPC_XRY_066_001
mouse_strain,C57BL
