gene_symbol,Ubxn4
pvalue,0.08898502
mouse_strain,C57BL
parameter_name,Breath rate during sleep standard deviation
gene_accession_id,MGI:1915062
mouse_life_stage,Late adult
parameter_id,JAX_SLW_014_001
analysis_id,o9q96ts2i60ql0m
