analysis_id,5wm6pe4z5h00gor
parameter_name,CD103+ CD11b-low cDC - % of CD45+
parameter_id,MGP_IMM_131_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Fpgs
pvalue,0.3763191
gene_accession_id,MGI:95576
