gene_symbol,Rap2b
analysis_id,24491s7231o9708
parameter_id,MGP_IMM_070_001
parameter_name,Total ab T cells - % of CD45+
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
pvalue,0.4414457
mouse_strain,C57BL
