analysis_id,g8v808a198hbu92
mouse_strain,C57BL
gene_accession_id,MGI:1913483
parameter_id,IMPC_GRS_009_001
pvalue,0.1788157
mouse_life_stage,Early adult
gene_symbol,Dmap1
parameter_name,Forelimb and hindlimb grip strength measurement mean
