gene_symbol,Pglyrp3
pvalue,0.07577005
parameter_id,JAX_SLW_014_001
parameter_name,Breath rate during sleep standard deviation
analysis_id,0t76gd683595q3x
mouse_strain,C57BL
gene_accession_id,MGI:2685266
mouse_life_stage,Early adult
