analysis_id,n4686x7hr92ogb4
parameter_name,Red blood cell distribution width
gene_symbol,Slc30a4
pvalue,0.8251596
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_id,IMPC_HEM_027_001
mouse_life_stage,Late adult
