analysis_id,p75w600222o8109
parameter_name,B1B Cells
pvalue,0.5170023
mouse_strain,C57BL
parameter_id,IMPC_IMM_064_001
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
gene_symbol,Eprs1
