gene_symbol,Cdin1
pvalue,0.69812
gene_accession_id,MGI:3026886
analysis_id,a4y56k6tr49k0fq
parameter_id,MGP_MLN_021_001
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_life_stage,E9.5
mouse_strain,C57BL
