analysis_id,t17rm1x0no7o0as
gene_symbol,Dmap1
pvalue,0.3035402
parameter_name,Hindlimbs - shape
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1913483
parameter_id,JAXLA_CSD_021_001
