gene_symbol,Bpifa3
analysis_id,8z9qo034b1461pw
parameter_id,IMPC_HEM_039_001
parameter_name,Large Unstained Cell (LUC) count
mouse_strain,C57BL
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
pvalue,0.6252234
