parameter_name,NK Subsets (Q2)
mouse_strain,C57BL
pvalue,0.6090846
gene_accession_id,MGI:2653612
gene_symbol,Amigo1
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_055_001
analysis_id,crq1pjtkh26765x
