analysis_id,25mqb9t17xyp678
gene_symbol,Gfi1b
mouse_life_stage,Early adult
parameter_name,Platelet count
parameter_id,IMPC_HEM_008_001
gene_accession_id,MGI:1276578
mouse_strain,C57BL
pvalue,0.85235
