parameter_name,PP1 startle magnitude
pvalue,0.3372133
gene_symbol,Secisbp2l
analysis_id,3b03ma51cymn9wq
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1917604
parameter_id,ESLIM_011_001_002
mouse_strain,C57BL
