analysis_id,zwj36fs55x64gr9
parameter_id,M-G-P_014_001_009
mouse_life_stage,Early adult
gene_symbol,Rnf114
pvalue,0.7733487
parameter_name,lens
mouse_strain,C57BL
gene_accession_id,MGI:1933159
