analysis_id,00a5i9xy5fsy5nw
parameter_name,Others
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
parameter_id,IMPC_IMM_006_001
mouse_strain,129SV
pvalue,0.6198952
gene_symbol,Ddx27
