parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
analysis_id,042y49bkif58ve9
pvalue,0.3465145
gene_symbol,Slc28a2
parameter_id,IMPC_CBC_014_001
gene_accession_id,MGI:1913105
mouse_strain,C57BL
