analysis_id,29gv5j6u6n367g0
parameter_name,B2B Cells
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
pvalue,0.2028063
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_065_001
