gene_symbol,Zc2hc1a
analysis_id,aso600y6m94e4xh
pvalue,0.2673237
parameter_name,Skull shape
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_001_001
mouse_strain,C57BL
gene_accession_id,MGI:1914556
