analysis_id,x97687316sd98wz
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_072_001
gene_symbol,Kdm4c
pvalue,0.8630321
gene_accession_id,MGI:1924054
