gene_symbol,Npbwr1
analysis_id,8cf38s4981d9vu0
pvalue,0.7915188
mouse_strain,C57BL
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_003_001
parameter_name,Chloride
